Name: Contract 3I, Value: 290000.0, Start Date: 2023-09-01, End Date: 2024-09-01, Parent Name: Parent Contract I, Parent Description: Description for Parent Contract I
Name: Contract 4I, Value: 295000.0, Start Date: 2023-10-01, End Date: 2024-10-01, Parent Name: Parent Contract I, Parent Description: Description for Parent Contract I
Name: Contract 1I, Value: 90000.0, Start Date: 2023-05-01, End Date: 2024-05-01, Parent Name: Parent Contract I, Parent Description: Description for Parent Contract I
Name: Contract 2I, Value: 95000.0, Start Date: 2023-06-01, End Date: 2024-06-01, Parent Name: Parent Contract I, Parent Description: Description for Parent Contract I
Name: Contract 2D, Value: 45000.0, Start Date: 2023-08-01, End Date: 2024-08-01, Parent Name: Parent Contract D, Parent Description: Description for Parent Contract D
Name: Contract 3D, Value: 240000.0, Start Date: 2023-11-01, End Date: 2024-11-01, Parent Name: Parent Contract D, Parent Description: Description for Parent Contract D
Name: Contract 4D, Value: 245000.0, Start Date: 2023-12-01, End Date: 2024-12-01, Parent Name: Parent Contract D, Parent Description: Description for Parent Contract D
Name: Contract 1D, Value: 40000.0, Start Date: 2023-07-01, End Date: 2024-07-01, Parent Name: Parent Contract D, Parent Description: Description for Parent Contract D
Name: Contract 1O, Value: 150000.0, Start Date: 2023-05-01, End Date: 2024-05-01, Parent Name: Parent Contract O, Parent Description: Description for Parent Contract O
Name: Contract 2O, Value: 155000.0, Start Date: 2023-06-01, End Date: 2024-06-01, Parent Name: Parent Contract O, Parent Description: Description for Parent Contract O
Name: Contract 3O, Value: 350000.0, Start Date: 2023-09-01, End Date: 2024-09-01, Parent Name: Parent Contract O, Parent Description: Description for Parent Contract O
Name: Contract 4O, Value: 355000.0, Start Date: 2023-10-01, End Date: 2024-10-01, Parent Name: Parent Contract O, Parent Description: Description for Parent Contract O
Name: Contract 1E, Value: 50000.0, Start Date: 2023-09-01, End Date: 2024-09-01, Parent Name: Parent Contract E, Parent Description: Description for Parent Contract E
Name: Contract 2E, Value: 55000.0, Start Date: 2023-10-01, End Date: 2024-10-01, Parent Name: Parent Contract E, Parent Description: Description for Parent Contract E
Name: Contract 4E, Value: 255000.0, Start Date: 2023-02-01, End Date: 2024-02-01, Parent Name: Parent Contract E, Parent Description: Description for Parent Contract E
Name: Contract 3E, Value: 250000.0, Start Date: 2023-01-01, End Date: 2024-01-01, Parent Name: Parent Contract E, Parent Description: Description for Parent Contract E
